seriali	serialh	surveyyr	Outcome	IOut	ScrType	DMHSize7	Sex	AgeR	MarSt2_r	LiveW2	WrkStat	PTWork	EverWk	natidgby5_r	natidniy5_r	natiduky5	ethgrp5	ethgrp2	RelHRPr	Rel01r	Rel02r	Rel03r	Rel04r	Rel05r	Rel06r	Rel07r	Country
100711121	10071112	10	110	-1	2	4	2	29	1	1	2	-1	-1	4	-1	5	1	1	1	0	1	2	2	-1	-1	-1	101
100711122	10071112	10	110	-1	2	4	1	34	1	1	2	-1	-1	1	-1	1	1	1	0	1	0	2	2	-1	-1	-1	101
100711123	10071112	10	110	110	2	4	1	2	-1	-1	3	-1	-1	1	-1	1	1	1	3	3	3	0	4	-1	-1	-1	101
100711124	10071112	10	110	-1	2	4	1	 	-1	-1	3	-1	-1	1	-1	1	1	1	3	3	3	4	0	-1	-1	-1	101
100711131	10071113	10	110	110	1	1	1	44	1	-1	3	-1	2	1	-1	1	1	1	0	0	-1	-1	-1	-1	-1	-1	101
100711151	10071115	10	110	-1	2	3	2	32	1	2	3	-1	1	1	-1	1	1	1	0	0	2	2	-1	-1	-1	-1	101
100711152	10071115	10	110	110	2	3	1	6	-1	-1	1	-1	-1	1	-1	1	2	2	3	3	0	4	-1	-1	-1	-1	101
100711153	10071115	10	110	-1	2	3	1	3	-1	-1	3	-1	-1	1	-1	1	2	2	3	3	4	0	-1	-1	-1	-1	101
100711201	10071120	10	110	-1	2	2	2	45	1	2	1	2	2	5	-1	6	4	2	0	0	2	-1	-1	-1	-1	-1	101
100711202	10071120	10	110	110	2	2	2	15	-1	-1	1	-1	-1	5	-1	6	4	2	3	3	0	-1	-1	-1	-1	-1	101
100711221	10071122	10	110	-1	2	4	2	31	2	-1	2	-1	-1	1	-1	1	1	1	1	0	1	2	2	-1	-1	-1	101
100711222	10071122	10	110	-1	2	4	1	34	2	-1	2	-1	-1	1	-1	1	1	1	0	1	0	2	2	-1	-1	-1	101
100711223	10071122	10	110	-1	2	4	1	6	-1	-1	1	-1	-1	1	-1	1	1	1	3	3	3	0	4	-1	-1	-1	101
100711224	10071122	10	110	110	2	4	2	2	-1	-1	3	-1	-1	1	-1	1	1	1	3	3	3	4	0	-1	-1	-1	101
100711241	10071124	10	110	110	1	2	2	44	1	1	2	-1	-1	4	-1	5	1	1	0	0	1	-1	-1	-1	-1	-1	101
100711242	10071124	10	110	-1	1	2	1	46	4	1	2	-1	-1	1	-1	1	1	1	1	1	0	-1	-1	-1	-1	-1	101
100711261	10071126	10	110	-1	2	2	2	34	1	2	2	-1	-1	4	-1	5	2	2	0	0	2	-1	-1	-1	-1	-1	101
100711262	10071126	10	110	110	2	2	2	7	-1	-1	1	-1	-1	4	-1	5	3	2	3	3	0	-1	-1	-1	-1	-1	101
100711271	10071127	10	110	-1	2	5	2	49	2	-1	2	-1	-1	1	-1	1	1	1	4	0	2	4	5	1	-1	-1	101
100711272	10071127	10	110	-1	2	5	2	26	1	2	2	-1	-1	1	-1	1	1	1	5	3	0	5	2	3	-1	-1	101
100711273	10071127	10	110	-1	2	5	2	63	1	2	2	-1	-1	1	-1	1	1	1	0	4	5	0	5	5	-1	-1	101
100711274	10071127	10	110	110	2	5	1	4	-1	-1	3	-1	-1	1	-1	1	1	1	5	5	3	5	0	5	-1	-1	101
100711275	10071127	10	110	-1	2	5	1	54	2	-1	2	-1	-1	1	-1	1	1	1	5	1	2	5	5	0	-1	-1	101
100711281	10071128	10	110	110	1	1	1	60	1	-1	3	-1	1	1	-1	1	1	1	0	0	-1	-1	-1	-1	-1	-1	101
100712011	10071201	10	110	110	1	1	2	28	1	-1	2	-1	-1	1	-1	1	1	1	0	0	-1	-1	-1	-1	-1	-1	101
